X Y Z F R I
-1 -1.3 0 0.0306138 0.0295705 0.00792405
-1 -1.2 0 0.0291288 0.00582422 -0.0285406
-1 -1.1 0 0.0277295 -0.0275084 -0.00349432
-1 -1 0 0.0274041 -0.00429689 0.0270651
-1 -0.9 0 0.0350644 0.033805 0.00931291
-1 -0.8 0 0.0296874 0.0231046 -0.0186419
-1 -0.7 0 0.0232945 -0.0124845 -0.0196665
-1 -0.6 0 0.0127565 -0.0100666 0.00783537
-1 -0.5 0 0.0275615 0.0132745 0.0241542
-1 -0.4 0 0.0269526 0.025978 -0.00718224
-1 -0.3 0 0.0259446 0.00491034 -0.0254757
-1 -0.2 0 0.0240805 -0.0238713 -0.00316706
-1 -0.1 0 0.0230917 -0.00485776 0.0225749
-1 6.38378e-16 0 0.0343357 0.0262386 0.0221467
-1 0.1 0 0.044437 0.0439846 -0.00632445
-1 0.2 0 0.0511048 0.0411341 -0.0303262
-1 0.3 0 0.0237188 0.00839739 -0.0221826
-1 0.4 0 0.00719165 -0.00464815 0.00548767
-1 0.5 0 0.0339905 0.00762139 0.0331251
-1 0.6 0 0.0407509 0.0266695 0.0308119
-1 0.7 0 0.0372351 0.0296012 0.0225882
-1 0.8 0 0.0129247 0.0128569 -0.00132155
-1 0.9 0 0.0268199 -0.00649694 -0.0260211
-1 1 0 0.0310728 -0.0175026 -0.0256745
-1 1.1 0 0.029955 -0.0261938 -0.0145323
-1 1.2 0 0.0241245 -0.0235983 -0.00501123
-1 1.3 0 0.017437 -0.0105352 0.0138945
-1 1.4 0 0.0329772 -0.0102559 0.0313419
-1 1.5 0 0.0289939 -0.0105597 0.0270026
-1 1.6 0 0.0205225 0.00279502 0.0203313
-1 1.7 0 0.0246302 0.011523 0.0217685
-1 1.8 0 0.0242855 0.014664 0.0193585
-1 1.9 0 0.0271481 0.0189132 0.0194759
-0.9 -2 0 0.0184973 -0.0163768 -0.00859945
-0.9 -1.9 0 0.0158647 -0.00710994 0.0141823
-0.9 -1.8 0 0.0141655 0.0122072 0.00718657
-0.9 -1.7 0 0.0142535 0.00849631 -0.0114444
-0.9 -1.6 0 0.0164742 -0.01262 -0.0105894
-0.9 -1.5 0 0.0205476 -0.0130966 0.015833
-0.9 -1.4 0 0.0255911 0.0202522 0.0156445
-0.9 -1.3 0 0.029917 0.0173917 -0.0243424
-0.9 -1.2 0 0.0319071 -0.0271049 -0.0168342
-0.9 -1.1 0 0.0323842 -0.0132246 0.029561
-0.9 -1 0 0.0350644 0.033805 0.00931291
-0.9 -0.9 0 0.0497505 0.033561 -0.0367256
-0.9 -0.8 0 0.0186153 -0.00239878 -0.0184601
-0.9 -0.7 0 0.020535 -0.0126184 0.0162007
-0.9 -0.6 0 0.0261194 0.0195202 0.0173548
-0.9 -0.5 0 0.0206957 0.0206226 0.0017373
-0.9 -0.4 0 0.0209644 -0.00296382 -0.0207538
-0.9 -0.3 0 0.0223503 -0.02211 -0.00326856
-0.9 -0.2 0 0.0262723 -0.0193581 0.0177622
-0.9 -0.1 0 0.020314 0.0202989 -0.000781087
-0.9 6.38378e-16 0 0.041082 0.0213906 -0.0350738
-0.9 0.1 0 0.0573939 -0.00210631 -0.0573552
-0.9 0.2 0 0.0468455 -0.0109465 -0.0455486
-0.9 0.3 0 0.0204537 -0.0184733 -0.00878023
-0.9 0.4 0 0.012052 0.00930653 0.0076577
-0.9 0.5 0 0.0289504 0.0289445 0.000582531
-0.9 0.6 0 0.0472262 0.0275075 -0.0383882
